#chrom	chromStart	chromEnd	name	strand	uniprotName	geneName	geneSynonyms
chr1	3069259	3433808	Q9HAZ2-1	+	PRD16_HUMAN	PRDM16	KIAA1675; MEL1; PFM13
chr1	3463084	3480584	Q5VV41-1	+	ARHGG_HUMAN	ARHGEF16	EPHEXIN4; NBR
chr1	3490530	3611268	O75095-1	-	MEGF6_HUMAN	MEGF6	EGFL3; KIAA0815
chr1	3625072	3628600	Q5T0D9-1	+	TPRGL_HUMAN	TPRG1L	FAM79A; MOVER
chr1	3630977	3649999	Q9P2S5	-	WRP73_HUMAN	WRAP73	WDR8
chr1	3682365	3733076	O15350-1	+	P73_HUMAN	TP73	P73
chr1	3752481	3771520	Q2M243	+	CCD27_HUMAN	CCDC27	
chr1	3775373	3775918	B2RUZ4	+	SMIM1_HUMAN	SMIM1	
chr1	3781090	3796476	Q8N1G4	-	LRC47_HUMAN	LRRC47	KIAA1185
chr1	3815404	3852407	O60308-1	-	CE104_HUMAN	CEP104	KIAA0562
chr1	3857603	3883738	O76075-1	+	DFFB_HUMAN	DFFB	CAD; DFF2; DFF40
chr1	3889962	3900186	Q8IYL3	-	CA174_HUMAN	C1orf174	
chr1	4655425	4774496	Q9UKB5	+	AJAP1_HUMAN	AJAP1	MOT8; SHREW1
chr1	5863267	5986289	O75161-1	-	NPHP4_HUMAN	NPHP4	KIAA0673
chr1	6040568	6098571	Q13303-1	+	KCAB2_HUMAN	KCNAB2	KCNA2B; KCNK2
chr1	6106282	6180023	Q8TDI0	-	CHD5_HUMAN	CHD5	KIAA0444
chr1	6186674	6199573	P35268	-	RL22_HUMAN	RPL22	
chr1	6206535	6219404	Q6ZRF8-1	+	RN207_HUMAN	RNF207	C1orf188
chr1	6225082	6235911	O60725	-	ICMT_HUMAN	ICMT	PCCMT
chr1	6244365	6245504	Q5TGS1	+	HES3_HUMAN	HES3	BHLHB43
chr1	6249340	6254905	Q6NV75	-	GP153_HUMAN	GPR153	PGR1
chr1	6264599	6385666	O00154-1	-	BACH_HUMAN	ACOT7	BACH
chr1	6418875	6419820	Q9Y543-1	-	HES2_HUMAN	HES2	BHLHB40
chr1	6424955	6460143	B1AK53-1	+	ESPN_HUMAN	ESPN	DFNB36
chr1	6461436	6466107	Q93038-1	-	TNR25_HUMAN	TNFRSF25	APO3; DDR3; DR3; TNFRSF12; WSL; WSL1
chr1	6467565	6497323	O94827-1	-	PKHG5_HUMAN	PLEKHG5	KIAA0720
chr1	6525856	6554502	Q5SY16	-	NOL9_HUMAN	NOL9	
chr1	6555373	6579581	Q7RTX1-1	+	TS1R1_HUMAN	TAS1R1	GPR70; T1R1; TR1
chr1	6580609	6589209	P10074	+	TZAP_HUMAN	ZBTB48	HKR3; TZAP; ZNF855
chr1	6593367	6602817	Q9UJP4-1	-	KLH21_HUMAN	KLHL21	KIAA0469
chr1	6614066	6621634	Q86YI8	+	PHF13_HUMAN	PHF13	
chr1	6625218	6633074	Q8WTV1-1	+	THAP3_HUMAN	THAP3	
chr1	6635677	6701800	Q9NVH1-1	-	DJC11_HUMAN	DNAJC11	
chr1	6785530	7766488	Q9Y6Y1-1	+	CMTA1_HUMAN	CAMTA1	KIAA0833
chr1	7771383	7779642	Q15836	+	VAMP3_HUMAN	VAMP3	SYB3
chr1	7784877	7842752	P56645-1	+	PER3_HUMAN	PER3	
chr1	7847768	7853003	O95399-1	-	UTS2_HUMAN	UTS2	
chr1	7920837	7939994	Q07011	-	TNR9_HUMAN	TNFRSF9	CD137; ILA
chr1	7962785	7985051	Q99497	+	PARK7_HUMAN	PARK7	
chr1	8013212	8015619	Q9UJM3	-	ERRFI_HUMAN	ERRFI1	MIG6
chr1	8324329	8344010	Q9Y2W3	+	S45A1_HUMAN	SLC45A1	DNB5
chr1	8355089	8656297	Q9P2R6-1	-	RERE_HUMAN	RERE	ARG; ARP; ATN1L; KIAA0458
chr1	8861362	8874908	P06733-1	-	ENOA_HUMAN	ENO1	ENO1L1; MBPB1; MPB1
chr1	8945886	8974701	P23280-1	+	CAH6_HUMAN	CA6	
chr1	9003302	9026345	Q6PXP3	-	GTR7_HUMAN	SLC2A7	GLUT7
chr1	9037588	9069536	P22732-1	-	GTR5_HUMAN	SLC2A5	GLUT5
chr1	9104421	9129027	Q5UAW9	-	GP157_HUMAN	GPR157	
chr1	9244934	9264866	O95479	+	G6PE_HUMAN	H6PD	GDH
chr1	9355891	9367572	Q96BD6	+	SPSB1_HUMAN	SPSB1	SSB1
chr1	9539691	9582498	Q9BSK2	+	S2533_HUMAN	SLC25A33	
chr1	9588930	9613080	Q5SNT2-1	+	TM201_HUMAN	TMEM201	NET5; SAMP1
chr1	9710455	9727043	O00329-1	+	PK3CD_HUMAN	PIK3CD	
chr1	9730510	9823733	O94985-1	-	CSTN1_HUMAN	CLSTN1	CS1; KIAA0911
chr1	9850720	9872064	Q9NSA3	-	CNBP1_HUMAN	CTNNBIP1	ICAT
chr1	9930401	9936619	Q8WZA0-1	-	LZIC_HUMAN	LZIC	
chr1	9972073	9982698	Q9HAN9	+	NMNA1_HUMAN	NMNAT1	NMNAT
chr1	9997258	10015829	Q96R05	+	RET7_HUMAN	RBP7	
chr1	10033670	10179953	O95155-1	+	UBE4B_HUMAN	UBE4B	HDNB1; KIAA0684; UFD2
chr1	10232328	10376584	O60333-1	+	KIF1B_HUMAN	KIF1B	KIAA0591; KIAA1448
chr1	10399117	10419746	P52209-1	+	6PGD_HUMAN	PGD	PGDH
chr1	10430517	10442402	Q8N2Z9-1	+	CENPS_HUMAN	CENPS	APITD1; FAAP16; MHF1
chr1	10450223	10451592	O00230	+	CORT_HUMAN	CORT	
chr1	10461492	10472458	O00273-1	-	DFFA_HUMAN	DFFA	DFF1; DFF45
chr1	10474966	10629984	O75381-1	+	PEX14_HUMAN	PEX14	
chr1	10638944	10693889	Q86V15-1	-	CASZ1_HUMAN	CASZ1	CST; SRG; ZNF693
chr1	10947665	10964196	Q8N9H9-1	-	CA127_HUMAN	C1orf127	
chr1	11013727	11022651	Q13148-1	+	TADBP_HUMAN	TARDBP	TDP43
chr1	11026887	11047207	O00187-1	-	MASP2_HUMAN	MASP2	
chr1	11054867	11059943	P19623	-	SPEE_HUMAN	SRM	SPS1; SRML1
chr1	11066720	11099831	Q01780-1	-	EXOSX_HUMAN	EXOSC10	PMSCL; PMSCL2; RRP6
chr1	11107487	11259409	P42345	-	MTOR_HUMAN	MTOR	FRAP; FRAP1; FRAP2; RAFT1; RAPT1
chr1	11189579	11195020	O43827	+	ANGL7_HUMAN	ANGPTL7	CDT6
chr1	11273531	11286128	Q9Y5Z9-1	+	UBIA1_HUMAN	UBIAD1	TERE1
chr1	11500992	11536683	Q9P2K9-1	+	DISP3_HUMAN	DISP3	KIAA1337; PTCHD2
chr1	11648696	11654340	Q9UK22	-	FBX2_HUMAN	FBXO2	FBX2
chr1	11655835	11661270	Q9H4M3-1	+	FBX44_HUMAN	FBXO44	FBG3; FBX30; FBX44; FBX6A; FBXO6A
chr1	11668658	11673848	Q9NRD1	+	FBX6_HUMAN	FBXO6	FBG2; FBS2; FBX6
chr1	11674777	11680601	Q9UI95	-	MD2L2_HUMAN	MAD2L2	MAD2B; REV7
chr1	11706258	11719693	Q8NBI3	+	DRAXI_HUMAN	DRAXIN	C1orf187
chr1	11736208	11750189	Q6RW13-1	+	ATRAP_HUMAN	AGTRAP	ATRAP
chr1	11761786	11789443	Q5SNV9-1	+	CA167_HUMAN	C1orf167	
chr1	11790682	11803116	P42898-1	-	MTHR_HUMAN	MTHFR	
chr1	11806262	11840220	P51797-1	+	CLCN6_HUMAN	CLCN6	KIAA0046
chr1	11846005	11847684	P01160	-	ANF_HUMAN	NPPA	ANP; PND
chr1	11857657	11858833	P16860	-	ANFB_HUMAN	NPPB	
chr1	11920317	11926237	Q8IYS2-1	-	K2013_HUMAN	KIAA2013	
chr1	11934779	11974805	Q02809-1	+	PLOD1_HUMAN	PLOD1	LLH; PLOD
chr1	11989168	12011562	O95140-1	+	MFN2_HUMAN	MFN2	CPRP1; KIAA0214
chr1	12021726	12031805	Q5JXC2-1	+	MIIP_HUMAN	MIIP	IIP45
chr1	12063598	12142528	P28908-1	+	TNR8_HUMAN	TNFRSF8	CD30; D1S166E
chr1	12167091	12207017	P20333-1	+	TNR1B_HUMAN	TNFRSF1B	TNFBR; TNFR2
chr1	12234266	12509021	Q5THJ4-1	+	VP13D_HUMAN	VPS13D	KIAA0453
chr1	12568342	12617348	O75911-1	-	DHRS3_HUMAN	DHRS3	RDH17; SDR16C1
chr1	12644546	12666732	Q5VUY2	+	ADCL4_HUMAN	AADACL4	
chr1	12719477	12725993	Q5VUY0-1	+	ADCL3_HUMAN	AADACL3	
chr1	12746430	12760948	Q8N1D5	+	CA158_HUMAN	C1orf158	
chr1	12774867	12777596	O95522	+	PRA12_HUMAN	PRAMEF12	
chr1	12793227	12795993	O95521	+	PRAM1_HUMAN	PRAMEF1	
chr1	12824944	12828663	O60813	-	PRA11_HUMAN	PRAMEF11	
chr1	12847410	12848289	O60812	-	HNRC1_HUMAN	HNRNPCL1	HNRPCL1
chr1	12859009	12861776	O60811	+	PRAM2_HUMAN	PRAMEF2	
chr1	12879546	12883394	O60810	-	PRAM4_HUMAN	PRAMEF4	
chr1	12892918	12895847	O60809	-	PRA10_HUMAN	PRAMEF10	
chr1	12917692	12920410	Q5VXH5	+	PRAM7_HUMAN	PRAMEF7	
chr1	12938677	12942518	Q5VXH4	-	PRAM6_HUMAN	PRAMEF6	
chr1	13049810	13053659	A3QJZ7	-	PRA27_HUMAN	PRAMEF27	
chr1	13061324	13062203	B7ZW38	+	HNRC3_HUMAN	HNRNPCL3	
chr1	13073693	13077549	A6NGN4	+	PRA25_HUMAN	PRAMEF25	
chr1	13074659	13077549	H0Y7S4	+	PRA26_HUMAN	PRAMEF26	
chr1	13115521	13116400	B2RXH8	-	HNRC2_HUMAN	HNRNPCL2	HNRNPCP5
chr1	13149239	13152129	H0Y7S4	-	PRA26_HUMAN	PRAMEF26	
chr1	13164588	13165467	P0DMR1	-	HNRC4_HUMAN	HNRNPCL4	
chr1	13196825	13199589	Q5VWM6	-	PRA13_HUMAN	PRAMEF13	
chr1	13223334	13226106	A3QJZ6	-	PRA22_HUMAN	PRAMEF22	
chr1	13223334	13226106	Q5VWM3	-	PRA18_HUMAN	PRAMEF18	
chr1	13259268	13263108	Q5TYX0	+	PRAM5_HUMAN	PRAMEF5	PRAMEF23; PRAMEF5L
chr1	13281373	13284091	Q5VWM4	-	PRAM8_HUMAN	PRAMEF8	PRAMEF24
chr1	13318407	13322261	Q5VWM5	+	PRAM9_HUMAN	PRAMEF9; PRAMEF15	
chr1	13342530	13345314	Q5SWL7	-	PRA14_HUMAN	PRAMEF14	
chr1	13369069	13371693	Q5SWL8	-	PRA19_HUMAN	PRAMEF19	
chr1	13389657	13392499	Q5VTA0	+	PRA17_HUMAN	PRAMEF17	
chr1	13416354	13421255	Q5VT98	+	PRA20_HUMAN	PRAMEF20	PRAMEF21
chr1	13475848	13513593	Q5VT99	-	LRC38_HUMAN	LRRC38	
chr1	13584033	13615908	Q86YL7-1	+	PDPN_HUMAN	PDPN	GP36
chr1	13715605	13816544	Q13029-1	+	PRDM2_HUMAN	PRDM2	KMT8; RIZ
chr1	13893635	14598988	B1AJZ1	+	CA196_HUMAN	C1orf196	
chr1	14598997	15114632	Q674X7-1	+	KAZRN_HUMAN	KAZN	KAZ; KIAA1026
chr1	15215087	15219740	Q9NW97	+	TMM51_HUMAN	TMEM51	C1orf72
chr1	15251784	15397410	B1AJZ9-1	+	FHAD1_HUMAN	FHAD1	KIAA1937
chr1	15409971	15428721	Q96C19	+	EFHD2_HUMAN	EFHD2	SWS1
chr1	15438464	15446586	Q99895	+	CTRC_HUMAN	CTRC	CLCR
chr1	15456753	15472004	P08217	+	CEL2A_HUMAN	CELA2A	ELA2A
chr1	15476125	15491309	P08218	+	CEL2B_HUMAN	CELA2B	ELA2B
chr1	15492945	15524200	P55211-1	-	CASP9_HUMAN	CASP9	MCH6
chr1	15529105	15568174	Q9Y2G8-1	+	DJC16_HUMAN	DNAJC16	KIAA0962
chr1	15573653	15584967	Q9BSE5	-	SPEB_HUMAN	AGMAT	
chr1	15617670	15656630	Q5TDH0-1	+	DDI2_HUMAN	DDI2	
chr1	15659868	15661719	Q92681	+	RSCA1_HUMAN	RSC1A1	
chr1	15684558	15733931	Q8IWE5	+	PKHM2_HUMAN	PLEKHM2	KIAA0842; SKIP
chr1	15736485	15739403	Q6PIV7	+	S2534_HUMAN	SLC25A34	
chr1	15742559	15747629	A0PJX8	+	TMM82_HUMAN	TMEM82	
chr1	15764983	15784658	Q8WUP2-1	+	FBLI1_HUMAN	FBLIM1	FBLP1
chr1	15807376	15807649	A0A096LP55	-	QCR6L_HUMAN	UQCRHL	
chr1	15848067	15939424	Q96T58	+	MINT_HUMAN	SPEN	KIAA0929; MINT; SHARP
chr1	15941971	15948495	Q13105-1	-	ZBT17_HUMAN	ZBTB17	MIZ1; ZNF151; ZNF60
chr1	16004303	16006343	Q8NEQ6	+	CA064_HUMAN	C1orf64	
chr1	16015582	16017963	Q9UBY9-1	-	HSPB7_HUMAN	HSPB7	CVHSP
chr1	16022619	16033655	P51800-1	+	CLCKA_HUMAN	CLCNKA	
chr1	16044492	16056913	P51801-1	+	CLCKB_HUMAN	CLCNKB	
chr1	16058439	16073442	Q96AQ9	-	F131C_HUMAN	FAM131C	C1orf117
chr1	16125217	16155932	P29317-1	-	EPHA2_HUMAN	EPHA2	ECK
chr1	16198589	16209054	Q8IW93-1	-	ARHGJ_HUMAN	ARHGEF19	
chr1	16232050	16236742	Q9BU20	-	RSG1_HUMAN	RSG1	C1orf89
chr1	16250672	16315418	Q6P3S6	-	FBX42_HUMAN	FBXO42	FBX42; JFK; KIAA1332
chr1	16367257	16395137	Q7Z422-1	+	SZRD1_HUMAN	SZRD1	C1orf144
chr1	16398767	16431371	Q7Z572-1	-	SPT21_HUMAN	SPATA21	
chr1	16440761	16458887	Q9NVZ3-1	+	NECP2_HUMAN	NECAP2	
chr1	16539065	16539572	A6NCW3	+	F231B_HUMAN	FAM231B	
chr1	16563945	16585663	Q3BBW0	-	NBPF9_HUMAN	NBPF9	
chr1	16673002	16673509	P0DMU4	+	F231A_HUMAN	FAM231A	
chr1	16733954	16734461	P0DMU5	-	F231C_HUMAN	FAM231C	
chr1	16922018	16972443	Q5TZA2-1	+	CROCC_HUMAN	CROCC	KIAA0445
chr1	16939896	16946264	Q8IVE0	+	CROL2_HUMAN	CROCCP3	CROCCL2; KIAA1922
chr1	16974922	16978273	P55001-1	-	MFAP2_HUMAN	MFAP2	MAGP1
chr1	16986223	17011738	Q9NQ11-1	-	AT132_HUMAN	ATP13A2	PARK9
chr1	17018883	17054019	P21912	-	SDHB_HUMAN	SDHB	SDH; SDH1
chr1	17069046	17119371	Q9Y2J8-1	-	PADI2_HUMAN	PADI2	KIAA0994; PAD2; PDI2
chr1	17205217	17244240	Q9ULC6	+	PADI1_HUMAN	PADI1	PAD1; PDI1
chr1	17249137	17283076	Q9ULW8	+	PADI3_HUMAN	PADI3	PAD3; PDI3
chr1	17308222	17363752	Q9UM07	+	PADI4_HUMAN	PADI4	PAD4; PADI5; PDI5
chr1	17372245	17401435	Q6TGC4	+	PADI6_HUMAN	PADI6	PAD6
chr1	17409092	17438514	Q9P258	-	RCC2_HUMAN	RCC2	KIAA1470; TD60
chr1	17580595	17697377	Q9HCE6-1	+	ARGAL_HUMAN	ARHGEF10L	GRINCHGEF; KIAA1626
chr1	17823008	17826516	Q9H568	+	ACTL8_HUMAN	ACTL8	
chr1	18108128	18378323	Q96ID5	+	IGS21_HUMAN	IGSF21	
chr1	18480981	18483312	Q5VTJ3	+	KLD7A_HUMAN	KLHDC7A	
chr1	18631603	18744926	P23759-3	+	PAX7_HUMAN	PAX7	HUP1
chr1	18839601	18859660	Q8TE23	-	TS1R2_HUMAN	TAS1R2	GPR71; T1R2; TR2
chr1	18872847	18902523	P30038-1	-	AL4A1_HUMAN	ALDH4A1	ALDH4; P5CDH
chr1	18908563	18956332	Q5TF58	-	IFFO2_HUMAN	IFFO2	
chr1	19074834	19210248	Q5T4S7-1	-	UBR4_HUMAN	UBR4	KIAA0462; KIAA1307; RBAF600; ZUBR1
chr1	19219305	19251509	Q8N766-1	-	EMC1_HUMAN	EMC1	KIAA0090
chr1	19251835	19258827	Q9UKD2	+	MRT4_HUMAN	MRTO4	C1orf33; MRT4
chr1	19267302	19274074	Q8NHP1-1	-	ARK74_HUMAN	AKR7L	AFAR3; AKR7A4
chr1	19282733	19288709	O95154	-	ARK73_HUMAN	AKR7A3	AFAR2
chr1	19304227	19312124	O43488	-	ARK72_HUMAN	AKR7A2	AFAR; AFAR1; AKR7
chr1	19317677	19328640	Q6ZP29-1	+	LAAT1_HUMAN	PQLC2	
chr1	19342764	19485438	P47756-1	-	CAPZB_HUMAN	CAPZB	
chr1	19597045	19626398	Q5TGZ0-1	+	MIC10_HUMAN	MINOS1	C1orf151; MIC10
chr1	19655030	19657126	P41271-1	+	NBL1_HUMAN	NBL1	DAN; DAND1
chr1	19665753	19679365	P50406	+	5HT6R_HUMAN	HTR6	
chr1	19683042	19780758	Q5TGY1-1	-	TMCO4_HUMAN	TMCO4	
chr1	19814420	19815101	Q9NXI6	-	RN186_HUMAN	RNF186	
chr1	19882513	19907743	Q5T2D3	+	OTUD3_HUMAN	OTUD3	KIAA0459
chr1	19920309	19923559	Q9NZK7	-	PA2GE_HUMAN	PLA2G2E	
chr1	19975703	19978773	P14555	-	PA2GA_HUMAN	PLA2G2A	PLA2B; PLA2L; RASF-A
chr1	20084830	20090689	P39877	+	PA2G5_HUMAN	PLA2G5	
chr1	20114116	20119498	Q9UNK4	-	PA2GD_HUMAN	PLA2G2D	SPLASH
chr1	20140178	20148398	Q9BZM2-1	+	PA2GF_HUMAN	PLA2G2F	
chr1	20163993	20177363	Q5R387	-	PA2GC_HUMAN	PLA2G2C	
chr1	20190561	20191401	Q96LJ8	+	UBX10_HUMAN	UBXN10	UBXD3
chr1	20310601	20354260	Q5TIE3-1	+	VW5B1_HUMAN	VWA5B1	
chr1	20483651	20485379	Q7Z7J9	-	CK2N1_HUMAN	CAMK2N1	
chr1	20500692	20508024	Q969V5	-	MUL1_HUMAN	MUL1	C1orf166; GIDE; MAPL; MULAN; RNF218
chr1	20552973	20553960	Q6ZT52	+	FA43B_HUMAN	FAM43B	
chr1	20589129	20618565	P32320	+	CDD_HUMAN	CDA	CDD
chr1	20633548	20650688	Q9BXM7-1	+	PINK1_HUMAN	PINK1	
chr1	20652381	20661401	P39656-1	-	OST48_HUMAN	DDOST	KIAA0115; OST48
chr1	20664586	20717706	Q9P2E2-1	-	KIF17_HUMAN	KIF17	KIAA1405; KIF3X
chr1	20721794	20728044	Q6ZV89-1	-	SH2D5_HUMAN	SH2D5	
chr1	20744799	20780440	Q5SSJ5-1	-	HP1B3_HUMAN	HP1BP3	
chr1	20807321	21002742	O43432-1	-	IF4G3_HUMAN	EIF4G3	
chr1	21219957	21290414	P42892-1	-	ECE1_HUMAN	ECE1	
chr1	21445086	21483383	Q9H094-1	+	NBPF3_HUMAN	NBPF3	
chr1	21554081	21577645	P05186-1	+	PPBT_HUMAN	ALPL	
chr1	21597722	21620032	P47736-1	-	RPGP1_HUMAN	RAP1GAP	KIAA0474; RAP1GA1
chr1	21679419	21782957	Q86UV5-1	-	UBP48_HUMAN	USP48	USP31
chr1	21812451	21822212	Q5SZI1	+	LRAD2_HUMAN	LDLRAD2	
chr1	21823318	21937217	P98160	-	PGBM_HUMAN	HSPG2	
chr1	21977039	21989276	P08861	+	CEL3B_HUMAN	CELA3B	ELA3B
chr1	22001674	22012464	P09093	+	CEL3A_HUMAN	CELA3A	ELA3; ELA3A
chr1	22078478	22091514	P60953-2	+	CDC42_HUMAN	CDC42	
chr1	22120052	22142922	P56705-1	-	WNT4_HUMAN	WNT4	
chr1	22489948	22526393	Q9NUA8-1	+	ZBT40_HUMAN	ZBTB40	KIAA0478
chr1	22563635	22601738	P29322-1	+	EPHA8_HUMAN	EPHA8	EEK; HEK3; KIAA1459
chr1	22637616	22639404	P02745	+	C1QA_HUMAN	C1QA	
chr1	22644023	22647780	P02747	+	C1QC_HUMAN	C1QC	C1QG
chr1	22659456	22661383	P02746	+	C1QB_HUMAN	C1QB	
chr1	22710982	22913867	P29323-1	+	EPHB2_HUMAN	EPHB2	DRT; EPHT3; EPTH3; ERK; HEK5; TYRO5
chr1	22953048	22963178	A8MY62	-	BLML_HUMAN	LACTBL1	
chr1	23010903	23015773	H3BTG2-1	-	TEX46_HUMAN	TEX46	C1orf234
chr1	23019596	23083361	O60341-1	+	KDM1A_HUMAN	KDM1A	AOF2; KDM1; KIAA0601; LSD1
chr1	23088897	23094261	Q86V48-1	-	LUZP1_HUMAN	LUZP1	
chr1	23193088	23194219	P28221	-	5HT1D_HUMAN	HTR1D	HTR1DA; HTRL
chr1	23310456	23341008	O43390-1	-	HNRPR_HUMAN	HNRNPR	HNRPR
chr1	23361971	23368005	Q9C0F3	-	ZN436_HUMAN	ZNF436	KIAA1710
chr1	23381468	23424633	O75764-1	-	TCEA3_HUMAN	TCEA3	TFIISH
chr1	23429858	23484133	Q8TDY4-1	-	ASAP3_HUMAN	ASAP3	DDEFL1; UPLC1
