#chrom	chromStart	chromEnd	name	strand	protAltShortNames	geneName	geneSynonyms
chr1	11114924	11120000	P19623	-		SRM	SPS1; SRML1
chr1	11126777	11159888	Q01780-1	-	PM/Scl-100	EXOSC10	PMSCL; PMSCL2; RRP6
chr1	11167544	11319466	P42345	-	mTOR	MTOR	FRAP; FRAP1; FRAP2; RAFT1; RAPT1
chr1	11249636	11255077	O43827	+		ANGPTL7	CDT6
chr1	11333588	11346185	Q9Y5Z9-1	+		UBIAD1	TERE1
chr1	11561049	11596740	Q9P2K9-1	+		DISP3	KIAA1337; PTCHD2
chr1	11708753	11714397	Q9UK22	-		FBXO2	FBX2
chr1	11715892	11721327	Q9H4M3-1	+		FBXO44	FBG3; FBX30; FBX44; FBX6A; FBXO6A
chr1	11728715	11733905	Q9NRD1	+		FBXO6	FBG2; FBS2; FBX6
chr1	11734834	11740658	Q9UI95	-	MAD2-like protein 2; hREV7	MAD2L2	MAD2B; REV7
chr1	11766315	11779750	Q8NBI3	+		DRAXIN	C1orf187
chr1	11796265	11810246	Q6RW13-1	+		AGTRAP	ATRAP
chr1	11832140	11849500	Q5SNV9-1	+		C1orf167	
chr1	11850739	11863173	P42898-1	-		MTHFR	
chr1	11866319	11900277	P51797-1	+	ClC-6	CLCN6	KIAA0046
chr1	11906062	11907741	P01160	-	CDD; CDP	NPPA	ANP; PND
chr1	11917714	11918890	P16860	-		NPPB	
chr1	11980374	11986294	Q8IYS2-1	-		KIAA2013	
chr1	11994836	12034862	Q02809-1	+	LH1	PLOD1	LLH; PLOD
chr1	12049225	12071619	O95140-1	+		MFN2	CPRP1; KIAA0214
chr1	12081783	12091862	Q5JXC2-1	+	IIp45	MIIP	IIP45
chr1	12123655	12202585	P28908-1	+		TNFRSF8	CD30; D1S166E
chr1	12227148	12267074	P20333-1	+	TNF-R2; TNF-RII; TNFR-II	TNFRSF1B	TNFBR; TNFR2
chr1	12294323	12569075	Q5THJ4-1	+		VPS13D	KIAA0453
chr1	12628371	12677353	O75911-1	-	retSDR1	DHRS3	RDH17; SDR16C1
chr1	12704565	12726743	Q5VUY2	+		AADACL4	
chr1	12779479	12785960	Q5VUY0-1	+		AADACL3	
chr1	12806378	12820881	Q8N1D5	+		C1orf158	
chr1	12835010	12837739	O95522	+		PRAMEF12	
chr1	12853376	12856142	O95521	+		PRAMEF1	
chr1	12884802	12888523	O60813	-		PRAMEF11	
chr1	12907263	12908142	B7ZW38	-		HNRNPCL3	
chr1	12907263	12908142	O60812	-		HNRNPCL1	HNRPCL1
chr1	12907263	12908142	P0DMR1	-		HNRNPCL4	
chr1	12918864	12921631	O60811	+		PRAMEF2	
chr1	12939367	12942255	H0Y7S4	-		PRAMEF26	
chr1	12939367	12943215	O60810	-		PRAMEF4	
chr1	12952749	12955678	A0A0G2JMD5	-		PRAMEF33	
chr1	12952749	12955678	O60809	-		PRAMEF10	
chr1	12977512	12980230	Q5VWM4	+		PRAMEF8	PRAMEF24
chr1	12977512	12980230	Q5VXH5	+		PRAMEF7	
chr1	12998507	13001394	H0Y7S4	-		PRAMEF26	
chr1	12998507	13002348	Q5VXH4	-		PRAMEF6	
chr1	12998507	13002354	A3QJZ7	-		PRAMEF27	
chr1	13035542	13038378	A3QJZ6	+		PRAMEF22	
chr1	13108840	13111726	H0Y7S4	-		PRAMEF26	
chr1	13108840	13112680	Q5TYX0	-		PRAMEF5	PRAMEF23; PRAMEF5L
chr1	13182993	13183872	B2RXH8	-		HNRNPCL2	HNRNPCP5
chr1	13328835	13331671	A3QJZ6	-		PRAMEF22	
chr1	13364890	13368730	Q5VXH4	+		PRAMEF6	
chr1	13365844	13368730	H0Y7S4	+		PRAMEF26	
chr1	13386984	13389702	Q5VWM4	-		PRAMEF8	PRAMEF24
chr1	13386984	13389702	Q5VXH5	-		PRAMEF7	
chr1	13424002	13427856	A3QJZ7	+		PRAMEF27	
chr1	13424002	13427856	A6NGN4	+		PRAMEF25	
chr1	13424002	13427856	Q5VWM5	+		PRAMEF9; PRAMEF15	
chr1	13424967	13427856	H0Y7S4	+		PRAMEF26	
chr1	13448052	13450836	Q5SWL7	-		PRAMEF14	
chr1	13448052	13450836	Q5VWM6	-		PRAMEF13	
chr1	13474691	13477522	Q5SWL8	-		PRAMEF19	
chr1	13521972	13526870	Q5VT98	+		PRAMEF20	PRAMEF21
chr1	13607769	13610487	Q5VWM4	-		PRAMEF8	PRAMEF24
chr1	13607769	13610487	Q5VXH5	-		PRAMEF7	
chr1	13644799	13648653	A3QJZ7	+		PRAMEF27	
chr1	13644799	13648653	A6NGN4	+		PRAMEF25	
chr1	13644799	13648653	Q5VWM5	+		PRAMEF9; PRAMEF15	
chr1	13645764	13648653	H0Y7S4	+		PRAMEF26	
chr1	13695527	13698358	Q5SWL8	-		PRAMEF19	
chr1	13695527	13698358	Q5VWM3	-		PRAMEF18	
chr1	13716117	13718959	Q5VTA0	+		PRAMEF17	
chr1	13742811	13747730	Q5VT98	+		PRAMEF20	PRAMEF21
chr1	13802316	13840088	Q5VT99	-		LRRC38	
chr1	13910528	13942403	Q86YL7-1	+	Gp36; T1A	PDPN	GP36
chr1	14042100	14143039	Q13029-1	+		PRDM2	KMT8; RIZ
chr1	14925493	15441128	Q674X7-1	+		KAZN	KAZ; KIAA1026
chr1	15541583	15546236	Q9NW97	+		TMEM51	C1orf72
chr1	15578280	15723906	B1AJZ9-1	+		FHAD1	KIAA1937
chr1	15736467	15755217	Q96C19	+		EFHD2	SWS1
chr1	15764960	15773081	Q99895	+		CTRC	CLCR
chr1	15783248	15798499	P08217	+		CELA2A	ELA2A
chr1	15802620	15817804	P08218	+		CELA2B	ELA2B
chr1	15819440	15850695	P55211-1	-	APAF-3; ICE-LAP6	CASP9	MCH6
chr1	15855600	15894669	Q9Y2G8-1	+		DNAJC16	KIAA0962
chr1	15900148	15911462	Q9BSE5	-	AUH	AGMAT	
chr1	15944165	15983125	Q5TDH0-1	+		DDI2	
chr1	15986363	15988214	Q92681	+	hRS1	RSC1A1	
chr1	16011053	16060426	Q8IWE5	+	SifA and kinesin-interacting protein	PLEKHM2	KIAA0842; SKIP
chr1	16062980	16065898	Q6PIV7	+		SLC25A34	
chr1	16069054	16074124	A0PJX8	+		TMEM82	
chr1	16091478	16111153	Q8WUP2-1	+	MIG2-interacting protein	FBLIM1	FBLP1
chr1	16133871	16134144	A0A096LP55	-		UQCRHL	
chr1	16174562	16265919	Q96T58	+		SPEN	KIAA0929; MINT; SHARP
chr1	16268466	16274990	Q13105-1	-	Miz-1	ZBTB17	MIZ1; ZNF151; ZNF60
chr1	16330798	16332838	Q8NEQ6	+		C1orf64	
chr1	16342077	16344458	Q9UBY9-1	-	cvHsp	HSPB7	CVHSP
chr1	16349114	16360150	P51800-1	+		CLCNKA	
chr1	16370987	16383408	P51801-1	+		CLCNKB	
chr1	16384934	16399937	Q96AQ9	-		FAM131C	C1orf117
chr1	16451712	16482427	P29317-1	-		EPHA2	ECK
chr1	16525084	16535549	Q8IW93-1	-		ARHGEF19	
chr1	16558545	16563237	Q9BU20	-		RSG1	C1orf89
chr1	16577167	16641913	Q6P3S6	-		FBXO42	FBX42; JFK; KIAA1332
chr1	16693752	16721632	Q7Z422-1	+		SZRD1	C1orf144
chr1	16725262	16757866	Q7Z572-1	-		SPATA21	
chr1	16767256	16785382	Q9NVZ3-1	+	NECAP-2	NECAP2	
chr1	16890440	16912158	Q3BBW0	-		NBPF9	
chr1	16890512	16918516	Q3BBV0	-		NBPF1	KIAA1693
chr1	17083729	17090975	Q2TV78-1	-	BRF-1	MST1L	D1F15S1A; MST1P9; MSTP9
chr1	17248513	17298938	Q5TZA2-1	+		CROCC	KIAA0445
chr1	17266391	17272759	Q8IVE0	+		CROCCP3	CROCCL2; KIAA1922
chr1	17301417	17304768	P55001-1	-	MAGP; MAGP-1	MFAP2	MAGP1
chr1	17312718	17338233	Q9NQ11-1	-		ATP13A2	PARK9
chr1	17345378	17380514	P21912	-	Ip	SDHB	SDH; SDH1
chr1	17395541	17445866	Q9Y2J8-1	-		PADI2	KIAA0994; PAD2; PDI2
chr1	17531712	17570735	Q9ULC6	+		PADI1	PAD1; PDI1
chr1	17575632	17609571	Q9ULW8	+		PADI3	PAD3; PDI3
chr1	17634717	17690247	Q9UM07	+		PADI4	PAD4; PADI5; PDI5
chr1	17698740	17727931	Q6TGC4	+	hPADVI	PADI6	PAD6
chr1	17735588	17765010	Q9P258	-		RCC2	KIAA1470; TD60
chr1	17907090	18023872	Q9HCE6-1	+		ARHGEF10L	GRINCHGEF; KIAA1626
chr1	18149503	18153011	Q9H568	+	CT57	ACTL8	
chr1	18434622	18704817	Q96ID5	+		IGSF21	
chr1	18807475	18809806	Q5VTJ3	+		KLHDC7A	
chr1	18958097	19071420	P23759-3	+		PAX7	HUP1
chr1	19166095	19186154	Q8TE23	-		TAS1R2	GPR71; T1R2; TR2
chr1	19199341	19229017	P30038-1	-		ALDH4A1	ALDH4; P5CDH
chr1	19235057	19282826	Q5TF58	-		IFFO2	
chr1	19401328	19536742	Q5T4S7-1	-	RBAF600; p600	UBR4	KIAA0462; KIAA1307; RBAF600; ZUBR1
chr1	19545799	19578003	Q8N766-1	-		EMC1	KIAA0090
chr1	19578329	19585321	Q9UKD2	+		MRTO4	C1orf33; MRT4
chr1	19593796	19600568	Q8NHP1-1	-	AFB1-AR 3	AKR7L	AFAR3; AKR7A4
chr1	19609227	19615203	O95154	-	AFB1-AR 2	AKR7A3	AFAR2
chr1	19630721	19638618	O43488	-	AFB1-AR 1; SSA reductase	AKR7A2	AFAR; AFAR1; AKR7
chr1	19644171	19655134	Q6ZP29-1	+		PQLC2	
chr1	19669258	19811932	P47756-1	-		CAPZB	
chr1	19923539	19952892	Q5TGZ0-1	+		MINOS1	C1orf151; MIC10
chr1	19981523	19983619	P41271-1	+		NBL1	DAN; DAND1
chr1	19992246	20005858	P50406	+		HTR6	
chr1	20009535	20107251	Q5TGY1-1	-		TMCO4	
chr1	20140913	20141594	Q9NXI6	-		RNF186	
chr1	20209006	20234236	Q5T2D3	+		OTUD3	KIAA0459
chr1	20246802	20250052	Q9NZK7	-		PLA2G2E	
chr1	20302196	20305266	P14555	-	NPS-PLA2	PLA2G2A	PLA2B; PLA2L; RASF-A
chr1	20411323	20417182	P39877	+		PLA2G5	
chr1	20440609	20445991	Q9UNK4	-		PLA2G2D	SPLASH
chr1	20466671	20474891	Q9BZM2-1	+		PLA2G2F	
chr1	20490486	20501684	Q5R387	-		PLA2G2C	
chr1	20517054	20517894	Q96LJ8	+		UBXN10	UBXD3
chr1	20637094	20680753	Q5TIE3-1	+		VWA5B1	
chr1	20810144	20811872	Q7Z7J9	-	CaMKIIN-alpha	CAMK2N1	
chr1	20827185	20834517	Q969V5	-	MAPL	MUL1	C1orf166; GIDE; MAPL; MULAN; RNF218
chr1	20879466	20880453	Q6ZT52	+		FAM43B	
chr1	20915622	20945058	P32320	+		CDA	CDD
chr1	20960041	20977181	Q9BXM7-1	+		PINK1	
chr1	20978874	20987894	P39656-1	-		DDOST	KIAA0115; OST48
chr1	20991079	21044199	Q9P2E2-1	-		KIF17	KIAA1405; KIF3X
chr1	21048287	21054537	Q6ZV89-1	-		SH2D5	
chr1	21071292	21106933	Q5SSJ5-1	-		HP1BP3	
chr1	21133814	21329235	O43432-1	-	eIF4GII	EIF4G3	
chr1	21546450	21616907	P42892-1	-		ECE1	
chr1	21771579	21809876	Q9H094-1	+		NBPF3	
chr1	21880574	21904138	P05186-1	+		ALPL	
chr1	21924215	21946525	P47736-1	-		RAP1GAP	KIAA0474; RAP1GA1
chr1	22005912	22109450	Q86UV5-1	-		USP48	USP31
chr1	22138944	22148705	Q5SZI1	+		LDLRAD2	
chr1	22149811	22263710	P98160	-	PLC	HSPG2	
chr1	22303532	22315769	P08861	+		CELA3B	ELA3B
chr1	22328167	22338957	P09093	+		CELA3A	ELA3; ELA3A
chr1	22404971	22418007	P60953-2	+		CDC42	
chr1	22446545	22469415	P56705-1	-		WNT4	
chr1	22816441	22852886	Q9NUA8-1	+		ZBTB40	KIAA0478
chr1	22890128	22928231	P29322-1	+	EK3; hEK3	EPHA8	EEK; HEK3; KIAA1459
chr1	22964109	22965897	P02745	+		C1QA	
chr1	22970516	22974273	P02747	+		C1QC	C1QG
chr1	22985949	22987876	P02746	+		C1QB	
chr1	23037475	23240360	P29323-1	+	EK5; hEK5	EPHB2	DRT; EPHT3; EPTH3; ERK; HEK5; TYRO5
chr1	23337396	23342266	H3BTG2-1	-		TEX46	C1orf234
chr1	23346089	23409854	O60341-1	+		KDM1A	AOF2; KDM1; KIAA0601; LSD1
chr1	23415390	23420754	Q86V48-1	-		LUZP1	
chr1	23519581	23520712	P28221	-	5-HT-1D-alpha	HTR1D	HTR1DA; HTRL
chr1	23636949	23667501	O43390-1	-		HNRNPR	HNRPR
chr1	23688464	23694498	Q9C0F3	-		ZNF436	KIAA1710
chr1	23695790	23696168	Q8NC38	+		ZNF436-AS1	C1orf213
chr1	23707961	23751126	O75764-1	-		TCEA3	TFIISH
chr1	23756351	23810626	Q8TDY4-1	-		ASAP3	DDEFL1; UPLC1
chr1	23836374	23857285	Q14209	-		E2F2	
chr1	23885453	23885917	Q02535	-	bHLHb25	ID3	1R21; BHLHB25; HEIR1
chr1	24018313	24022860	P62913-1	+		RPL11	
chr1	24069915	24086060	Q14241	+		ELOA	TCEB3
chr1	24105005	24113863	Q9GZP4-1	+		PITHD1	C1orf128
chr1	24119172	24121219	O95372	+	LPL-II; LysoPLA II	LYPLA2	APT2
chr1	24122441	24125497	Q14376-1	-	UDP-GalNAc 4-epimerase; UDP-GlcNAc 4-epimerase	GALE	
chr1	24128955	24151905	P35914-1	-		HMGCL	
chr1	24172207	24194776	P04066	-	Alpha-L-fucosidase 1	FUCA1	
chr1	24201027	24202107	P34972	-		CNR2	CB2A; CB2B
chr1	24287947	24288364	Q9NPJ4-1	+		PNRC2	
chr1	24297634	24306745	O75494-1	-	SRrp40; TASR; TLS-associated protein with SR repeats; TLS-associated SR protein	SRSF10	FUSIP1; FUSIP2; SFRS13A; TASR
chr1	24383856	24435126	Q5VTT5-1	-		MYOM3	
chr1	24447297	24469572	Q8N6P7	-	CRF2-9	IL22RA1	IL22R
chr1	24483622	24513738	Q8IU57-1	-	CRF2-12; IL-28 receptor subunit alpha; IL-28R-alpha; IL-28RA; LICR2	IFNLR1	IL28RA; LICR2
chr1	24646041	24690858	Q8TE85-1	+		GRHL3	SOM; TFCP2L4
chr1	24685035	24727878	Q5TH74-1	-		STPG1	C1orf201
chr1	24746037	24795672	Q6P499-1	+		NIPAL3	NPAL3
chr1	24840862	24861764	Q9UKA8-1	+	MCIP3	RCAN3	DSCR1L2
chr1	24921921	24932235	Q5T1S8	+	MP11	NCMAP	C1orf130
chr1	24969817	24998774	Q8IYB3-1	+	SRm160	SRRM1	SRM160
chr1	25072044	25167425	Q9Y696	+		CLIC4	
chr1	25228615	25256359	Q13761-1	-	CBF-alpha-3; PEA2-alpha C; PEBP2-alpha C	RUNX3	AML2; CBFA3; PEBP2A3
chr1	25549759	25558958	O95926-1	-		SYF2	CBPIN; GCIPIP
chr1	25569082	25573454	Q9BUV0-1	-		RSRP1	C1orf63
chr1	25599038	25655412	Q02161-1	+	RhPII	RHD	
chr1	25666977	25687193	O95807	+		TMEM50A	SMP1
chr1	25689020	25747277	P18577-1	-	RhPI	RHCE	RHC; RHE
chr1	25757589	25824954	Q8N5G2-1	+		TMEM57	
chr1	25870189	25893480	Q5SW96	+		LDLRAP1	ARH
chr1	25944288	26110277	Q9NR34	+	Alpha-1,2-mannosidase IC	MAN1C1	MAN1A3; MAN1C
chr1	26126721	26142206	Q9NZV5-1	+		SELENON	SELN; SEPN1
chr1	26149595	26158514	Q9H019-1	+		MTFR1L	FAM54B
chr1	26161486	26185848	Q9H7T9-1	-		AUNIP	C1orf135
chr1	26189292	26190330	Q86WK9	-		PAQR7	MRPA
chr1	26227509	26231167	P16949-1	-	Op18; pp19	STMN1	C1orf215; LAP18; OP18
chr1	26288482	26317307	Q99487	-	SD-PLA2; hSD-PLA2	PAFAH2	
chr1	26349137	26361835	Q92935	+		EXTL1	EXTL
chr1	26365653	26372387	Q9BRI3-1	-		SLC30A2	ZNT2
chr1	26378366	26393985	Q969Q1-1	-	MuRF-1; MuRF1	TRIM63	IRF; MURF1; RNF28; SMRZ
chr1	26440799	26449065	Q8N165	+		PDIK1L	CLIK1L
chr1	26487782	26488595	Q8TAY7	+		FAM110D	GRRP1
chr1	26496474	26497204	O00488	+		ZNF593	ZT86
chr1	26504038	26516036	Q969H4-1	+	CNK1; hCNK1	CNKSR1	CNK1
chr1	26517118	26529030	Q7RTX7-1	+		CATSPER4	
chr1	26566274	26603781	Q6P2H3-1	+		CEP85	CCDC21
chr1	26606646	26607611	Q9H299	+	SH3BP-1	SH3BGRL3	
chr1	26608792	26629374	Q5T124-1	-		UBXN11	SOC; UBXD5
chr1	26644508	26646790	P31358	+	He5	CD52	CDW52; HE5
chr1	26648461	26669313	Q8N1P7	-		CRYBG2	AIM1L
chr1	26688144	26695062	Q8IZ20-1	-	Hobit	ZNF683	
chr1	26737382	26752946	Q9H9Z2	+		LIN28A	CSDD1; LIN28; ZCCHC1
chr1	26759436	26795619	Q86SQ9-1	+	CIT; Cis-IPTase	DHDDS	HDS
