X.chrom	Start	End	Region	within10m	within500k	within250k	dist
chr8	59068651	59728100	region887	1	1	0	330
chr8	4480476	5146927	region850	1	1	0	333
chr14	46081896	46749130	region1339	1	1	0	334
chr10	123231465	123900545	region1086	1	1	0	335
chr5	26184851	26857604	region539	1	1	0	336
chr6	68849483	69523448	region679	1	1	0	337
chr10	29783692	30458838	region1032	1	1	0	338
chr16	78456292	79134815	region1472	1	1	0	339
chr2	217715661	218395480	region261	1	1	0	340
chr10	62659679	63341695	region1051	1	1	0	341
chr4	10240	694715	region400	1	1	0	342
chr6	93428644	94118142	region694	1	1	0	345
chr10	60523	751339	region1011	1	1	0	345
chr4	29762208	30454535	region424	1	1	0	346
chr4	130591885	131283821	region485	1	1	0	346
chr13	109121210	109815112	region1319	1	1	0	347
chr8	3783017	4480476	region849	1	1	0	349
chr16	84445883	85148685	region1478	1	1	0	351
chr9	31310383	32019368	region960	1	1	0	354
chr7	1353067	2062398	region746	1	1	0	355
chr7	2062398	2772227	region747	1	1	0	355
chr9	8456299	9166403	region945	1	1	0	355
chr2	164466638	165178840	region232	1	1	0	356
chr4	47411896	48123600	region436	1	1	0	356
chr2	141805351	142518602	region217	1	1	0	357
chr17	13180372	13894637	region1495	1	1	0	357
chr5	56621102	57340073	region555	1	1	0	359
chr7	5854526	6573857	region751	1	1	0	360
chr6	170330173	171051270	region743	1	1	0	361
chr12	113263518	113986709	region1247	1	1	0	362
chr19	15648610	16374416	region1591	1	1	0	363
chr3	194059671	194786674	region396	1	1	0	364
chr8	125683719	126410917	region924	1	1	0	364
chr12	67181144	67909729	region1220	1	1	0	364
chr10	1523544	2254500	region1013	1	1	0	365
chr16	82747728	83477208	region1476	1	1	0	365
chr11	130342575	131074612	region1176	1	1	0	366
chr10	12586797	13321600	region1021	1	1	0	367
chr19	22732896	23467746	region1596	1	1	0	367
chr5	60935907	61672995	region558	1	1	0	369
chr8	81956395	82693739	region900	1	1	0	369
chr13	60854778	61591949	region1290	1	1	0	369
chr11	134205993	134946452	region1179	1	1	0	370
chr12	3677037	4417679	region1183	1	1	0	370
chr6	97093511	97842284	region697	1	1	0	374
chr5	63218987	63968304	region560	1	1	0	375
chr11	8333274	9087317	region1102	1	1	0	377
chr2	151731462	152486782	region223	1	1	0	378
chr17	1172399	1928731	region1485	1	1	0	378
chr6	162169564	162931203	region736	1	1	0	381
chr4	6773043	7539692	region407	1	1	0	383
chr4	161058864	161826435	region502	1	1	0	384
chr10	61891409	62659679	region1050	1	1	0	384
chr9	76203946	76973081	region970	1	1	0	385
chr10	751339	1523544	region1012	1	1	0	386
chr6	30798168	31571218	region656	1	1	0	387
chr16	5118345	5891580	region1434	1	1	0	387
chr20	62190180	62965163	region1655	1	1	0	387
chr2	35345028	36122006	region155	1	1	0	388
chr13	104066710	104844114	region1314	1	1	0	389
chr4	15147446	15927009	region414	1	1	0	390
chr9	25330810	26111757	region955	1	1	0	390
chr2	67226166	68010176	region177	1	1	0	392
chr4	694715	1478711	region401	1	1	0	392
chr5	119669042	120452166	region594	1	1	0	392
chr14	76444767	77229472	region1358	1	1	0	392
chr18	63463402	64252801	region1567	1	1	0	395
chr4	126480886	127275477	region481	1	1	0	397
chr15	40384132	41177514	region1393	1	1	0	397
chr2	50022257	50818928	region165	1	1	0	398
chr4	68059497	68854765	region446	1	1	0	398
chr1	3582736	4380811	region3	1	1	0	399
chr14	98341162	99138532	region1374	1	1	0	399
chr12	83502666	84303844	region1230	1	1	0	401
chr13	70724516	71526791	region1295	1	1	0	401
chr20	22491456	23293790	region1633	1	1	0	401
chr21	26469122	27271019	region1664	1	1	0	401
chr8	24674718	25483454	region867	1	1	0	404
chr11	12564229	13373124	region1105	1	1	0	404
chr11	86619301	87430235	region1143	1	1	0	405
chr16	7529121	8338519	region1437	1	1	0	405
chr19	40170619	40984601	region1605	1	1	0	407
chr8	10463197	11278998	region856	1	1	0	408
chr4	4684116	5502388	region405	1	1	0	409
chr6	28917608	29737971	region654	1	1	0	410
chr8	2573279	3392926	region847	1	1	0	410
chr17	49898957	50719055	region1513	1	1	0	410
chr8	9640787	10463197	region855	1	1	0	411
chr8	124861459	125683719	region923	1	1	0	411
chr10	95396368	96221243	region1070	1	1	0	412
chr10	122407323	123231465	region1085	1	1	0	412
chr15	29338502	30165568	region1385	1	1	0	414
chr18	11075913	11905440	region1538	1	1	0	415
chr2	146445570	147277162	region220	1	1	0	416
chr6	24852275	25684587	region650	1	1	0	416
chr7	25077259	25909555	region765	1	1	0	416
chr16	86815411	87647349	region1481	1	1	0	416
chr1	23086883	23920590	region16	1	1	0	417
chr4	167018858	167852917	region507	1	1	0	417
chr2	46482634	47318772	region162	1	1	0	418
chr10	43894771	44730075	region1040	1	1	0	418
chr4	3846040	4684116	region404	1	1	0	419
chr9	1079707	1916877	region938	1	1	0	419
chr10	131741327	132580245	region1092	1	1	0	419
chr21	37870779	38711704	region1672	1	1	0	420
chr7	4573428	5416232	region749	1	1	0	421
chr12	40816185	41658586	region1205	1	1	0	421
chr3	40221298	41064528	region306	1	1	0	422
chr21	34376999	35225465	region1669	1	1	0	424
chr15	31591821	32441811	region1387	1	1	0	425
chr1	83991748	84844495	region51	1	1	0	426
chr7	68234074	69085364	region788	1	1	0	426
chr13	57554217	58410626	region1287	1	1	0	428
chr1	102041016	102898745	region63	1	1	0	429
chr9	114831082	115693145	region993	1	1	0	431
chr12	29651255	30512406	region1199	1	1	0	431
chr7	9123423	9987499	region754	1	1	0	432
chr2	101822329	102688765	region192	1	1	0	433
chr8	104123306	104988752	region912	1	1	0	433
chr2	57429100	58297315	region171	1	1	0	434
chr18	77149991	78017158	region1578	1	1	0	434
chr3	197075987	197946622	region399	1	1	0	435
chr4	35151415	36020436	region428	1	1	0	435
chr7	149840658	150711505	region836	1	1	0	435
chr11	127316679	128188537	region1174	1	1	0	436
chr19	5811852	6684885	region1584	1	1	0	437
chr4	14272001	15147446	region413	1	1	0	438
chr8	1163245	2042942	region845	1	1	0	440
chr19	43862455	44744108	region1608	1	1	0	441
chr1	218705513	219590571	region113	1	1	0	443
chr3	87409732	88298373	region335	1	1	0	444
chr7	121045273	121933630	region816	1	1	0	444
chr12	54778823	55665837	region1213	1	1	0	444
chr20	61301855	62190180	region1654	1	1	0	444
chr19	8347513	9238393	region1586	1	1	0	445
chr2	235150987	236043550	region271	1	1	0	446
chr13	58410626	59302271	region1288	1	1	0	446
chr2	47318772	48213001	region163	1	1	0	447
chr3	8648561	9543183	region284	1	1	0	447
chr7	38966703	39862670	region772	1	1	0	448
chr11	7436701	8333274	region1101	1	1	0	448
chr1	199239884	200137649	region102	1	1	0	449
chr2	38132712	39031337	region157	1	1	0	449
chr10	130844284	131741327	region1091	1	1	0	449
chr2	102688765	103588215	region193	1	1	0	450
chr6	28017819	28917608	region653	1	1	0	450
chr14	85746319	86647002	region1365	1	1	0	450
chr9	117019801	117921960	region995	1	1	0	451
chr18	10644	912486	region1531	1	1	0	451
chr3	32351715	33255592	region301	1	1	0	452
chr9	133223217	134127888	region1004	1	1	0	452
chr12	4417679	5321472	region1184	1	1	0	452
chr5	152867774	153773088	region611	1	1	0	453
chr21	40482902	41389527	region1674	1	1	0	453
chr11	122591910	123500117	region1170	1	1	0	454
chr12	32165592	33076989	region1201	1	1	0	456
chr11	100417169	101331121	region1153	1	1	0	457
chr11	103959636	104873284	region1155	1	1	0	457
chr15	24195127	25108590	region1382	1	1	0	457
chr1	48978188	49894177	region31	1	1	0	458
chr6	23936619	24852275	region649	1	1	0	458
chr15	100636847	101552694	region1428	1	1	0	458
chr22	48903703	49824534	region1702	1	1	0	460
chr2	184357608	185280173	region244	1	1	0	461
chr9	30387392	31310383	region959	1	1	0	461
chr19	2098396	3019660	region1581	1	1	0	461
chr4	124286481	125210862	region479	1	1	0	462
chr13	108189877	109121210	region1318	1	1	0	466
chr16	77523678	78456292	region1471	1	1	0	466
chr18	71038474	71971462	region1573	1	1	0	466
chr2	205799241	206735704	region254	1	1	0	468
chr13	46495214	47431079	region1280	1	1	0	468
chr9	121321537	122260297	region997	1	1	0	469
chr13	23594702	24531937	region1265	1	1	0	469
chr19	29790947	30727954	region1599	1	1	0	469
chr6	169382050	170330173	region742	1	1	0	474
chr18	25927682	26875587	region1545	1	1	0	474
chr14	106340358	107289454	region1379	1	1	0	475
chr2	181312739	182266031	region242	1	1	0	477
chr7	16161	972752	region744	1	1	0	478
chr7	103197510	104159525	region807	1	1	0	481
chr2	163503551	164466638	region231	1	1	0	482
chr3	26877769	27840910	region297	1	1	0	482
chr5	172678327	173642871	region625	1	1	0	482
chr7	22507629	23471442	region763	1	1	0	482
chr3	19125144	20091348	region291	1	1	0	483
chr11	93276157	94242260	region1148	1	1	0	483
chr15	101552694	102520966	region1429	1	1	0	484
chr16	83477208	84445883	region1477	1	1	0	484
chr1	10806984	11777841	region8	1	1	0	485
chr1	93536459	94506191	region57	1	1	0	485
chr5	11940	982252	region522	1	1	0	485
chr2	157560635	158533218	region227	1	1	0	486
chr11	26045753	27020461	region1113	1	1	0	487
chr20	39610856	40585689	region1642	1	1	0	487
chr1	48002576	48978188	region30	1	1	0	488
chr16	81772536	82747728	region1475	1	1	0	488
chr12	11754846	12733528	region1190	1	1	0	489
chr2	224859419	225840004	region265	1	1	0	490
chr5	168525318	169505664	region622	1	1	0	490
chr14	55233681	56216880	region1347	1	1	0	492
chr14	50507760	51493572	region1343	1	1	0	493
chr5	178413464	179401244	region629	1	1	0	494
chr14	86647002	87635341	region1366	1	1	0	494
chr3	68286914	69276762	region323	1	1	0	495
chr17	7317398	8306425	region1490	1	1	0	495
chr18	26875587	27866478	region1546	1	1	0	495
chr3	109522395	110513770	region345	1	1	0	496
chr7	140235210	141226557	region830	1	1	0	496
chr4	89238028	90231564	region459	1	1	0	497
chr6	5791472	6785207	region637	1	1	0	497
chr10	91013381	92006581	region1067	1	1	0	497
chr17	3702312	4696261	region1487	1	1	0	497
chr3	65273538	66270447	region321	1	1	0	498
chr8	5146927	6142797	region851	1	1	0	498
chr9	129059665	130055510	region1001	1	1	0	498
chr11	123500117	124495528	region1171	1	1	0	498
chr16	17644749	18643607	region1446	1	1	0	499
chr3	6083183	7083387	region282	1	0	0	500
chr5	114830370	115831047	region590	1	0	0	500
chr6	118963115	119963278	region710	1	0	0	500
chr18	68621179	69621618	region1571	1	0	0	500
chr1	11777841	12779466	region9	1	0	0	501
chr7	100196651	101199253	region805	1	0	0	501
chr16	5891580	6893551	region1435	1	0	0	501
chr2	43309590	44313803	region160	1	0	0	502
chr4	2842979	3846040	region403	1	0	0	502
chr8	69863057	70867979	region893	1	0	0	502
chr1	114873845	115880593	region71	1	0	0	503
chr6	1452362	2458936	region633	1	0	0	503
chr11	126311320	127316679	region1173	1	0	0	503
chr16	74971503	75977954	region1469	1	0	0	503
chr16	85148685	86156599	region1479	1	0	0	504
chr8	6142797	7153079	region852	1	0	0	505
chr8	55945581	56956383	region885	1	0	0	505
chr1	237555628	238567807	region125	1	0	0	506
chr8	75445064	76456542	region897	1	0	0	506
chr4	138541971	139556511	region490	1	0	0	507
chr6	107450306	108464380	region703	1	0	0	507
chr14	34846251	35859593	region1332	1	0	0	507
chr1	102898745	103914211	region64	1	0	0	508
chr13	111232073	112247592	region1321	1	0	0	508
chr19	13471127	14486347	region1589	1	0	0	508
chr1	240564091	241582220	region128	1	0	0	509
chr2	52491133	53508452	region167	1	0	0	509
chr6	167024733	168042835	region740	1	0	0	509
chr8	40703337	41721454	region878	1	0	0	509
chr2	107408267	108429177	region197	1	0	0	510
chr8	62329099	63349306	region889	1	0	0	510
chr12	61107	1080331	region1180	1	0	0	510
chr12	80448150	81467767	region1228	1	0	0	510
chr12	131786751	132807034	region1260	1	0	0	510
chr13	35026464	36046367	region1273	1	0	0	510
chr6	138822629	139845436	region723	1	0	0	511
chr17	38877404	39899810	region1507	1	0	0	511
chr6	6785207	7808936	region638	1	0	0	512
chr22	42690818	43714200	region1697	1	0	0	512
chr1	58865399	59890409	region37	1	0	0	513
chr1	99800604	100826405	region61	1	0	0	513
chr7	96073508	97099570	region802	1	0	0	513
chr5	162743908	163771582	region618	1	0	0	514
chr19	19877471	20905757	region1594	1	0	0	514
chr10	134494673	135523865	region1095	1	0	0	515
chr18	912486	1942911	region1532	1	0	0	515
chr18	22996651	24026191	region1543	1	0	0	515
chr20	40585689	41615460	region1643	1	0	0	515
chr20	7084073	8117011	region1623	1	0	0	516
chr7	45952922	46986720	region777	1	0	0	517
chr8	10422	1044217	region843	1	0	0	517
chr12	132807034	133841511	region1261	1	0	0	517
chr17	76263413	77298636	region1527	1	0	0	518
chr22	34494914	35530985	region1692	1	0	0	518
chr2	242149921	243188920	region277	1	0	0	519
chr5	104851483	105893055	region583	1	0	0	521
chr2	18647423	19692404	region144	1	0	0	522
chr2	158533218	159577082	region228	1	0	0	522
chr6	3573593	4617817	region635	1	0	0	522
chr22	26791628	27834752	region1687	1	0	0	522
chr7	53176312	54222976	region781	1	0	0	523
chr17	4696261	5741334	region1488	1	0	0	523
chr12	117087471	118135375	region1251	1	0	0	524
chr19	46102697	47150082	region1610	1	0	0	524
chr6	39295677	40345115	region662	1	0	0	525
chr12	113986709	115036602	region1248	1	0	0	525
chr18	66125817	67175820	region1569	1	0	0	525
chr8	41721454	42773823	region879	1	0	0	526
chr3	94255316	95311971	region337	1	0	0	528
chr9	132165470	133223217	region1003	1	0	0	529
chr19	36469295	37527033	region1603	1	0	0	529
chr5	118608820	119669042	region593	1	0	0	530
chr6	29737971	30798168	region655	1	0	0	530
chr3	145664619	146726629	region367	1	0	0	531
chr6	21684065	22748307	region647	1	0	0	532
chr9	33578334	34642243	region962	1	0	0	532
chr20	41615460	42680176	region1644	1	0	0	532
chr6	52210476	53279102	region670	1	0	0	534
chr10	119523934	120591353	region1083	1	0	0	534
chr12	15241484	16310460	region1192	1	0	0	534
chr15	34015425	35083251	region1389	1	0	0	534
chr3	46657500	47727212	region310	1	0	0	535
chr9	10023	1079707	region937	1	0	0	535
chr6	129861031	130935454	region717	1	0	0	537
chr10	84383745	85458703	region1063	1	0	0	537
chr15	37456502	38530777	region1391	1	0	0	537
chr6	47311898	48391125	region667	1	0	0	540
chr11	3665481	4746709	region1098	1	0	0	541
chr2	30463711	31550450	region152	1	0	0	543
chr2	105125034	106210058	region195	1	0	0	543
chr3	55348860	56433907	region315	1	0	0	543
chr5	16963613	18051592	region534	1	0	0	544
chr5	79393144	80481471	region568	1	0	0	544
chr12	96020785	97108839	region1236	1	0	0	544
chr4	71049152	72140558	region448	1	0	0	546
chr10	115328432	116421406	region1081	1	0	0	546
chr16	11520161	12613098	region1441	1	0	0	546
chr7	112618684	113712387	region812	1	0	0	547
chr16	10426032	11520161	region1440	1	0	0	547
chr3	150252004	151348730	region370	1	0	0	548
chr10	2254500	3352699	region1014	1	0	0	549
chr12	5321472	6419753	region1185	1	0	0	549
chr4	169676825	170776510	region509	1	0	0	550
chr7	154964730	156065250	region840	1	0	0	550
chr18	56530220	57630483	region1562	1	0	0	550
chr12	101862690	102964986	region1240	1	0	0	551
chr1	46899501	48002576	region29	1	0	0	552
chr3	195971408	197075987	region398	1	0	0	552
chr14	83138097	84241633	region1363	1	0	0	552
chr6	25684587	26791233	region651	1	0	0	553
chr2	124732250	125840921	region205	1	0	0	554
chr17	50719055	51826118	region1514	1	0	0	554
chr11	90966490	92077144	region1146	1	0	0	555
chr21	20962339	22072764	region1660	1	0	0	555
chr6	31571218	32682664	region657	1	0	0	556
chr6	2458936	3573593	region634	1	0	0	557
chr11	6322869	7436701	region1100	1	0	0	557
chr2	88038507	89154526	region188	1	0	0	558
chr8	53302930	54418044	region883	1	0	0	558
chr15	69017999	70133341	region1411	1	0	0	558
chr4	55429556	56547644	region439	1	0	0	559
chr16	4001196	5118345	region1433	1	0	0	559
chr17	13894637	15019097	region1496	1	0	0	562
chr5	26857604	27984513	region540	1	0	0	563
chr19	54602362	55728080	region1615	1	0	0	563
chr22	46470495	47596318	region1700	1	0	0	563
chr2	5708337	6836254	region137	1	0	0	564
chr2	68010176	69139564	region178	1	0	0	565
chr4	178991910	180122043	region514	1	0	0	565
chr15	20001200	21131604	region1380	1	0	0	565
chr3	112815699	113947863	region347	1	0	0	566
chr12	2544786	3677037	region1182	1	0	0	566
chr12	69826542	70957987	region1222	1	0	0	566
chr13	54682864	55817131	region1285	1	0	0	567
chr1	196176201	197311514	region100	1	0	0	568
chr4	80990297	82125315	region453	1	0	0	568
chr17	9965921	11102815	region1492	1	0	0	568
chr12	129237297	130377921	region1258	1	0	0	570
chr11	70855	1213590	region1096	1	0	0	571
chr1	188759945	189904130	region96	1	0	0	572
chr15	93780902	94924330	region1423	1	0	0	572
chr19	40984601	42131573	region1606	1	0	0	573
chr5	158825698	159973944	region615	1	0	0	574
chr16	60054	1207206	region1430	1	0	0	574
chr5	982252	2132442	region523	1	0	0	575
chr6	88822140	89973052	region691	1	0	0	575
chr10	128001098	129154362	region1089	1	0	0	577
chr20	58406572	59561724	region1652	1	0	0	578
chr3	98215950	99373762	region339	1	0	0	579
chr5	179401244	180559933	region630	1	0	0	579
chr7	42001811	43159074	region774	1	0	0	579
chr5	110821144	111981562	region587	1	0	0	580
chr17	80034408	81194908	region1530	1	0	0	580
chr5	177251507	178413464	region628	1	0	0	581
chr16	79134815	80297374	region1473	1	0	0	581
chr18	74813815	75976317	region1576	1	0	0	581
chr19	14486347	15648610	region1590	1	0	0	581
chr18	19485844	20649472	region1541	1	0	0	582
chr2	76913661	78079264	region183	1	0	0	583
chr4	127830293	128996665	region483	1	0	0	583
chr8	28162392	29327896	region870	1	0	0	583
chr1	233429284	234599434	region122	1	0	0	585
chr5	5973233	7143218	region527	1	0	0	585
chr9	134127888	135298842	region1005	1	0	0	585
chr3	69276762	70449028	region324	1	0	0	586
chr9	24158518	25330810	region954	1	0	0	586
chr9	86938196	88109333	region978	1	0	0	586
chr17	56	1172399	region1484	1	0	0	586
chr4	8152235	9326479	region409	1	0	0	587
chr6	4617817	5791472	region636	1	0	0	587
chr12	72645075	73818454	region1224	1	0	0	587
chr18	75976317	77149991	region1577	1	0	0	587
chr20	38436761	39610856	region1641	1	0	0	587
chr2	53508452	54685226	region168	1	0	0	588
chr10	18537267	19716878	region1025	1	0	0	590
chr14	65220298	66399555	region1353	1	0	0	590
chr1	37549183	38731847	region23	1	0	0	591
chr3	172295731	173477285	region383	1	0	0	591
chr6	151912703	153094496	region730	1	0	0	591
chr3	194786674	195971408	region397	1	0	0	592
chr5	57340073	58524622	region556	1	0	0	592
chr21	43321528	44506268	region1676	1	0	0	592
chr6	22748307	23936619	region648	1	0	0	594
chr7	138744679	139933177	region828	1	0	0	594
chr10	5983762	7171484	region1017	1	0	0	594
chr2	177363636	178553183	region240	1	0	0	595
chr7	44763828	45952922	region776	1	0	0	595
chr10	87937577	89127064	region1065	1	0	0	595
chr2	238760981	239952643	region274	1	0	0	596
chr8	143044914	144236881	region935	1	0	0	596
chr14	93132299	94325285	region1370	1	0	0	596
chr4	165823448	167018858	region506	1	0	0	598
chr17	78837588	80034408	region1529	1	0	0	598
chr2	106210058	107408267	region196	1	0	0	599
chr6	81929222	83127149	region687	1	0	0	599
chr20	11249536	12447499	region1626	1	0	0	599
chr20	31614823	32813441	region1637	1	0	0	599
chr8	25483454	26682525	region868	1	0	0	600
chr11	92077144	93276157	region1147	1	0	0	600
chr4	117276929	118479918	region474	1	0	0	601
chr3	35283458	36486842	region303	1	0	0	602
chr3	175116539	176320287	region385	1	0	0	602
chr5	55417349	56621102	region554	1	0	0	602
chr6	164383521	165586864	region738	1	0	0	602
chr5	165642395	166847740	region620	1	0	0	603
chr11	133000046	134205993	region1178	1	0	0	603
chr3	149043237	150252004	region369	1	0	0	604
chr6	137614218	138822629	region722	1	0	0	604
chr1	43758457	44969183	region27	1	0	0	605
chr1	68477895	69687616	region43	1	0	0	605
chr6	7808936	9020026	region639	1	0	0	606
chr1	100826405	102041016	region62	1	0	0	607
chr3	84367479	85582231	region333	1	0	0	607
chr8	111850847	113064320	region918	1	0	0	607
chr15	98030910	99244059	region1426	1	0	0	607
chr18	33861964	35075250	region1550	1	0	0	607
chr3	81427310	82643886	region331	1	0	0	608
chr3	99373762	100592217	region340	1	0	0	609
chr8	133351144	134570001	region929	1	0	0	609
chr10	36572508	37790029	region1037	1	0	0	609
chr15	94924330	96141596	region1424	1	0	0	609
chr1	234599434	235819436	region123	1	0	0	610
chr4	188472981	189693511	region520	1	0	0	610
chr10	3352699	4572274	region1015	1	0	0	610
chr4	43965045	45189157	region434	1	0	0	612
chr2	56203345	57429100	region170	1	0	0	613
chr6	26791233	28017819	region652	1	0	0	613
chr13	29257551	30483267	region1269	1	0	0	613
chr22	31439918	32664986	region1690	1	0	0	613
chr5	2132442	3361941	region524	1	0	0	615
chr9	84211233	85440801	region976	1	0	0	615
chr13	63971559	65200602	region1292	1	0	0	615
chr14	24905123	26135686	region1327	1	0	0	615
chr2	198078110	199311125	region250	1	0	0	617
chr3	17891118	19125144	region290	1	0	0	617
chr4	36020436	37255047	region429	1	0	0	617
chr4	163243679	164478234	region504	1	0	0	617
chr7	6573857	7808752	region752	1	0	0	617
chr19	28557893	29790947	region1598	1	0	0	617
chr8	21661737	22897057	region865	1	0	0	618
chr8	109248173	110484314	region916	1	0	0	618
chr14	53997831	55233681	region1346	1	0	0	618
chr16	2764829	4001196	region1432	1	0	0	618
chr6	80691170	81929222	region686	1	0	0	619
chr8	107410754	108648177	region914	1	0	0	619
chr22	39307894	40545797	region1695	1	0	0	619
chr2	201576284	202818637	region252	1	0	0	621
chr5	122556905	123798100	region596	1	0	0	621
chr20	12447499	13689864	region1627	1	0	0	621
chr2	29217559	30463711	region151	1	0	0	623
chr3	143164628	144410816	region365	1	0	0	623
chr4	82125315	83372593	region454	1	0	0	624
chr7	12635461	13884202	region757	1	0	0	624
chr11	109866116	111114397	region1160	1	0	0	624
chr2	39031337	40281483	region158	1	0	0	625
chr2	228119842	229370787	region267	1	0	0	625
chr6	10540317	11790816	region641	1	0	0	625
chr13	33776903	35026464	region1272	1	0	0	625
chr13	24531937	25784362	region1266	1	0	0	626
chr15	58441366	59694116	region1405	1	0	0	626
chr16	89041165	90292812	region1483	1	0	0	626
chr3	144410816	145664619	region366	1	0	0	627
chr4	99424067	100678360	region465	1	0	0	627
chr5	155373505	156628700	region613	1	0	0	628
chr8	65232872	66489090	region891	1	0	0	628
chr18	5834180	7090485	region1535	1	0	0	628
chr18	59020751	60277715	region1564	1	0	0	628
chr2	169968236	171226245	region236	1	0	0	629
chr4	157485097	158743718	region500	1	0	0	629
chr8	130381139	131639625	region927	1	0	0	629
chr7	13884202	15143657	region758	1	0	0	630
chr5	117346213	118608820	region592	1	0	0	631
chr5	161482133	162743908	region617	1	0	0	631
chr12	51776494	53039004	region1211	1	0	0	631
chr14	56216880	57481262	region1348	1	0	0	632
chr1	20469149	21736588	region14	1	0	0	634
chr1	165191702	166460517	region83	1	0	0	634
chr3	54081390	55348860	region314	1	0	0	634
chr3	178107165	179374586	region387	1	0	0	634
chr4	5502388	6773043	region406	1	0	0	635
chr4	125210862	126480886	region480	1	0	0	635
chr5	3361941	4632110	region525	1	0	0	635
chr5	8446336	9718832	region529	1	0	0	636
chr22	23712647	24984204	region1685	1	0	0	636
chr9	1916877	3190064	region939	1	0	0	637
chr12	10481534	11754846	region1189	1	0	0	637
chr14	40341990	41615502	region1335	1	0	0	637
chr3	124936642	126214943	region355	1	0	0	639
chr22	43714200	44995308	region1698	1	0	0	641
chr2	75630086	76913661	region182	1	0	0	642
chr7	134307596	135591083	region825	1	0	0	642
chr17	41772087	43056905	region1509	1	0	0	642
chr7	135591083	136876562	region826	1	0	0	643
chr18	73526987	74813815	region1575	1	0	0	643
chr10	72220850	73508512	region1057	1	0	0	644
chr12	47714793	49001866	region1209	1	0	0	644
